epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7753,3.32917,5.3964,3.35325,0.55835,0.75,0.58352,0.31937,1.48747,4.7632,1.81371,0.00013336,0.00013336,0.00013336
2,24.0773,1.97561,2.87208,1.84825,0.52733,0.59599,0.30744,0.21059,1.94859,8.24371,1.94238,0.000278714,0.000278714,0.000278714
3,30.4634,1.78267,2.1518,1.75324,0.02982,0.65,0.03545,0.00893,2.75098,32.7566,3.02697,0.000419117,0.000419117,0.000419117
4,36.1342,1.73629,2.00538,1.72916,0.43037,0.4,0.13297,0.07473,1.85299,29.6786,3.24951,0.000554569,0.000554569,0.000554569
5,42.3916,1.78867,1.84233,1.81458,0.10591,0.6,0.0646,0.03085,2.13079,17.1466,2.24913,0.00068507,0.00068507,0.00068507
6,48.3713,1.94502,2.03133,1.82745,0.0784,0.4,0.05566,0.01672,2.69281,15.3775,3.3966,0.00081062,0.00081062,0.00081062
7,54.4824,1.85537,1.76852,1.77209,0.00288,0.1,0.0021,0.00052,3.29497,326.621,4.36387,0.00093122,0.00093122,0.00093122
8,60.5602,1.8901,1.8985,1.84302,0.73335,0.35,0.45551,0.22228,2.14923,3.30219,2.26339,0.00104687,0.00104687,0.00104687
9,66.2489,1.77211,2.12209,1.82441,0.39511,0.35,0.29229,0.11491,2.41528,8.39761,2.5765,0.00115756,0.00115756,0.00115756
10,72.5362,1.9495,1.82055,1.86234,0.32392,0.35,0.30312,0.13671,2.66884,19.6004,2.67109,0.00126331,0.00126331,0.00126331
11,78.1534,1.8955,1.86382,1.77998,0.446,0.35,0.11202,0.03121,2.99139,6.19078,3.0337,0.00136411,0.00136411,0.00136411
12,84.1865,1.8485,1.60598,1.77657,0.29666,0.5,0.41872,0.20652,1.80247,9.40221,2.0675,0.00136444,0.00136444,0.00136444
13,89.8438,1.81827,1.5836,1.74035,0.27812,0.75,0.31982,0.13028,2.08364,15.6359,2.29965,0.00133693,0.00133693,0.00133693
14,95.8342,1.78016,1.50328,1.72493,0.01299,0.4,0.03422,0.00757,3.70611,185.019,3.70683,0.00130943,0.00130943,0.00130943
15,101.842,1.72602,1.48781,1.69737,0.00402,0.3,0.04574,0.01476,2.99604,413.696,3.19676,0.00128192,0.00128192,0.00128192
16,107.791,1.81662,1.41073,1.71913,0.25,0.2,0.22844,0.07737,2.5516,153.637,2.6484,0.00125442,0.00125442,0.00125442
17,113.409,1.64882,1.25375,1.7004,0.03532,0.2,0.02079,0.00606,3.53508,150.072,5.32805,0.00122691,0.00122691,0.00122691
18,119.362,1.75337,1.32887,1.72725,0.93047,0.3,0.41043,0.25114,2.51918,3.60145,3.35492,0.00119941,0.00119941,0.00119941
19,125.154,1.57165,1.33882,1.67437,0.91953,0.55,0.57991,0.3284,2.08884,1.58113,2.44777,0.0011719,0.0011719,0.0011719
